CLAVE,CODIGO,ITEM,RESULTADO,DETALLES
29860000307312201015|5153887,29860000307312201015,5153887,CUMPLE,Item: 5153887 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: PANTALON PARA HOMBRE DE FIBRAS SINTETICAS
29860000307312301012|5153887,29860000307312301012,5153887,CUMPLE,Item: 5153887 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: PANTALON PARA HOMBRE DE FIBRAS SINTETICAS
29860000307659601011|4518105,29860000307659601011,4518105,SIN DATOS,No se encontró información en el reporte
29860000307661701017|4850058,29860000307661701017,4850058,INSPECCIÓN,Item: 4850058 - Tipo: ADHERIBLE - NOM: NOM-024-SCFI-2013 - Criterio:  - Descripción: BASCULA DIGITAL
29860000307663401018|4004220,29860000307663401018,4004220,INSPECCIÓN,Item: 4004220 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio:  - Descripción: PATINES EN LINEA
29860000307663501015|4004221,29860000307663501015,4004221,CUMPLE,Item: 4004221 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: PATINES EN LINEA
29860000307663801016|4536712,29860000307663801016,4536712,CUMPLE,Item: 4536712 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: PATINES EN LINEA
29860000307663901013|4536712,29860000307663901013,4536712,CUMPLE,Item: 4536712 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: PATINES EN LINEA
29860000307664001011|4536712,29860000307664001011,4536712,CUMPLE,Item: 4536712 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: PATINES EN LINEA
29860000307664101018|4536712,29860000307664101018,4536712,CUMPLE,Item: 4536712 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: PATINES EN LINEA
29860000307664401019|5014592,29860000307664401019,5014592,INSPECCIÓN,Item: 5014592 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio:  - Descripción: PATINES EN LINEA
29860000307664801017|5095674,29860000307664801017,5095674,CUMPLE,Item: 5095674 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: KIT SNORKEL
29860000307664901014|5095674,29860000307664901014,5095674,CUMPLE,Item: 5095674 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: KIT SNORKEL
29860000307665201016|5466097,29860000307665201016,5466097,CUMPLE,Item: 5466097 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: KIT SNORKEL MAS BOLSA DE MALLA
29860000307666601015|5255932,29860000307666601015,5255932,CUMPLE,Item: 5255932 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: BAÑADOR PARA MUJER DE FIBRAS SINTETICAS 1 PIEZA
29860000307666701012|5255932,29860000307666701012,5255932,CUMPLE,Item: 5255932 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: BAÑADOR PARA MUJER DE FIBRAS SINTETICAS 1 PIEZA
29860000307667401012|4190006,29860000307667401012,4190006,CUMPLE,Item: 4190006 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: CAMISETA PARA NIÑAS DE FIBRAS SINTETICAS
29860000307667701013|4547996,29860000307667701013,4547996,CUMPLE,Item: 4547996 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: CAMISETA PARA MUJER PRACTIA DE SURF DE FIBRAS SINTETICAS
29860000307668201019|5411340,29860000307668201019,5411340,CUMPLE,Item: 5411340 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: CAMISETA PARA HOMBRE DE FIBRAS SINTETICAS
29860000307668301016|5413285,29860000307668301016,5413285,CUMPLE,Item: 5413285 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: CAMISTEA MANGA LARGA PARA MUJER DE FIBRAS SINTETICAS
29860000307668401013|5413285,29860000307668401013,5413285,CUMPLE,Item: 5413285 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: CAMISTEA MANGA LARGA PARA MUJER DE FIBRAS SINTETICAS
29860000307668501010|5413285,29860000307668501010,5413285,CUMPLE,Item: 5413285 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: CAMISTEA MANGA LARGA PARA MUJER DE FIBRAS SINTETICAS
29860000307672701015|5086600,29860000307672701015,5086600,CUMPLE,Item: 5086600 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: PANTALON PARA HOMBRE DE FIBRAS SINTETICAS CON CINTURON
29860000307673301018|4265813,29860000307673301018,4265813,INSPECCIÓN,Item: 4265813 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio:  - Descripción: BASTON MONTAÑA SENDERISMO
29860000307673801013|4777408,29860000307673801013,4777408,CUMPLE,Item: 4777408 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: MOCHILA CON SUPERFICIE EXTERIOR TEXTIL
29860000307674601010|5413375,29860000307674601010,5413375,INSPECCIÓN,Item: 5413375 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: SILLA PARA CAMPAMENTO
29860000307674701017|5413375,29860000307674701017,5413375,INSPECCIÓN,Item: 5413375 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: SILLA PARA CAMPAMENTO
29860000307674801014|5413375,29860000307674801014,5413375,INSPECCIÓN,Item: 5413375 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: SILLA PARA CAMPAMENTO
29860000307674901011|5413375,29860000307674901011,5413375,INSPECCIÓN,Item: 5413375 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: SILLA PARA CAMPAMENTO
29860000307675001019|5413375,29860000307675001019,5413375,INSPECCIÓN,Item: 5413375 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: SILLA PARA CAMPAMENTO
29860000307675101016|5413375,29860000307675101016,5413375,INSPECCIÓN,Item: 5413375 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: SILLA PARA CAMPAMENTO
29860000307675901012|4711238,29860000307675901012,4711238,INSPECCIÓN,Item: 4711238 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio:  - Descripción: GUANTES DE KICKBOXING ADULTO
29860000307676101017|5057059,29860000307676101017,5057059,CUMPLE,Item: 5057059 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: GUANTES DE BOX
29860000307676201014|5057059,29860000307676201014,5057059,CUMPLE,Item: 5057059 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: GUANTES DE BOX
29860000307676301011|5165754,29860000307676301011,5165754,CUMPLE,Item: 5165754 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: PAQUETE DE 3 BANDAS ELASTICAS PARA GLUTEOS FITNESS
29860000307676901013|4729906,29860000307676901013,4729906,INSPECCIÓN,Item: 4729906 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: SOSTEN PARA MUJER DE FIBRAS SINTETICAS
29860000307662301010|4786370,29860000307662301010,4786370,INSPECCIÓN,Item: 4786370 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio: REVISADO - Descripción: BALON DE FUTBOL
29860000307662401017|4786370,29860000307662401017,4786370,INSPECCIÓN,Item: 4786370 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio: REVISADO - Descripción: BALON DE FUTBOL
29860000307665601014|4064888,29860000307665601014,4064888,INSPECCIÓN,Item: 4064888 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: ARTICULOS PARA LA PRACTICA ACUATICA (ARCOS DE ENTRENAMIENTO)
29860000307665701011|4064888,29860000307665701011,4064888,INSPECCIÓN,Item: 4064888 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: ARTICULOS PARA LA PRACTICA ACUATICA (ARCOS DE ENTRENAMIENTO)
29860000307665801018|4064888,29860000307665801018,4064888,INSPECCIÓN,Item: 4064888 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: ARTICULOS PARA LA PRACTICA ACUATICA (ARCOS DE ENTRENAMIENTO)
29860000307665901015|4064888,29860000307665901015,4064888,INSPECCIÓN,Item: 4064888 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: ARTICULOS PARA LA PRACTICA ACUATICA (ARCOS DE ENTRENAMIENTO)
29860000307668601017|4236896,29860000307668601017,4236896,INSPECCIÓN,"Item: 4236896 - Tipo: COSTURA - NOM: NOM-020-SCFI-1997 - Criterio:  - Descripción: CALZADO PARA HOMBRES O JOVENES QUE CUBRE EL TOBILLO, CORTE TEXTIL Y SUELA DE CAUCHO O PLASTICO"
29860000307669301017|4531831,29860000307669301017,4531831,INSPECCIÓN,Item: 4531831 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: CHAMARRA PARA HOMBRE DE FIBRAS SINTETICAS
29860000307669401014|4531831,29860000307669401014,4531831,INSPECCIÓN,Item: 4531831 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: CHAMARRA PARA HOMBRE DE FIBRAS SINTETICAS
